,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3,score_quality,score_difficulty,score_fit,score_missing_pieces,theme,art_style
10,10,10,11,11,11,11,11,11,13,14,"Ravensburger Bizarre Bookshop 2 1000 Piece Jigsaw Puzzle for Adults – Every Piece is Unique, Softclick Technology Means Pieces Fit Together Perfectly",503,17.06,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/A15%2BxC7SVBL._SL1500_.jpg,"'What you get – 1000 piece Ravensburger jigsaw puzzles for adults are crafted with premium quality, in terms of both content and material, and have a completed size of 27"" x 20"" Bestselling puzzle brand worldwide - With over 1 billion puzzles sold, Ravensburger is the bestselling puzzle brand worldwide Anti-Glare surface - Ravensburger puzzles use an exclusively developed, extra-thick cardboard combined with our fine, linen structured paper to create a glare-free puzzle image and give you the best experience possible Every piece is unique – None of the frustrations you find with other puzzle brands. With Ravensburger, every individual piece has a completely unique shape Softclick technology – Individual pieces are so precisely made that you can actually hear a soft ‘click’ when you fit a piece into the correct place.'",4.5,https://amazon.com/Ravensburger-Bizarre-Bookshop-Jigsaw-Puzzle/dp/B00DBWAVYY,-0.2684315789473683,57.0,0.4025988439306358,173.0,0.386585064102564,104.0,0.5635094135802469,162.0,0.7817547067901234,0.7012994219653179,0.6932925320512819,0.3657842105263158,towns_and_cities,collage
11,11,11,12,12,12,12,12,12,14,15,Buffalo Games - Vivid Collection - Rainbow City - 1000 Piece Jigsaw Puzzle,98,10.88,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91yko4lyc6L._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Collection-Rainbow-Jigsaw/dp/B078MTX3T4,-0.2258166666666665,15.0,0.2841693548387097,31.0,0.2349087301587301,21.0,0.5982297101449273,46.0,0.7991148550724636,0.6420846774193549,0.6174543650793651,0.3870916666666667,fantasy,hand
12,12,12,13,13,13,13,13,13,16,17,Vermont Christmas Company Halloween Barn Dance Jigsaw Puzzle 1000 Piece,44,16.95,Vermont Christmas Company,https://images-na.ssl-images-amazon.com/images/I/81UP2mRn3AL._SL1000_.jpg,"'Jigsaw puzzle includes 1000 pieces & measures 30""x24"" when completed Proudly made in the U.S.A with recycled materials Each puzzle features fully interlocking and randomly shaped pieces Produced on thick, quality blue board This Halloween puzzle is perfect for building anticipation leading up to the holiday!'",4.3,https://amazon.com/Vermont-Christmas-Company-Halloween-Jigsaw/dp/B071751Y7J,-0.07896249999999998,4.0,0.45645,10.0,0.1419541666666667,12.0,0.4817875000000001,12.0,0.74089375,0.728225,0.5709770833333333,0.46051875,towns_and_cities,hand
13,13,13,14,14,14,14,14,14,17,18,Buffalo Games - Charles Wysocki - Moonlight & Roses - 1000 Piece Jigsaw Puzzle,144,8.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91s64172t7L._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.2,https://amazon.com/Buffalo-Games-Charles-Wysocki-Moonlight/dp/B071R6B9WL,-0.2995882352941176,17.0,0.31722814814814826,45.0,0.21711861111111108,30.0,0.5542438405797102,46.0,0.7771219202898552,0.6586140740740741,0.6085593055555556,0.3502058823529412,towns_and_cities,hand
14,14,14,15,15,15,15,15,15,18,19,Difficult Donuts - 1000 Piece Jigsaw Puzzle,85,16.49,Cozytime Puzzles,https://images-na.ssl-images-amazon.com/images/I/91SDvsFyOQL._SL1500_.jpg,"'Manufactured from thick, premium cardboard. 1,000 random, unique cut pieces. Large 26.625"" x 19.25"" size. Lifetime free lost piece replacement. Bonus poster included'",4.5,https://amazon.com/Jigsaw-Puzzle-Difficult-Donuts-Pieces/dp/B07DHZ2HY5,-0.34647777777777783,12.0,0.20909864864864872,37.0,0.1547058823529412,17.0,0.3926638888888889,18.0,0.6963319444444445,0.6045493243243244,0.5773529411764706,0.32676111111111106,food,collage
15,15,15,16,16,16,16,16,16,20,21,Ingooood Rainy Night Walk paper puzzle 1000 pieces,296,25.99,Ingooood,https://images-na.ssl-images-amazon.com/images/I/91BG71FWCwL._SL1500_.jpg,"'Jigsaw puzzles by artist Leonid Afremov feature comforting, warm landscapes All our puzzles contain unique interlocking pieces that are made of sturdy blue chipboard on recycled paper 1000 piece puzzles measure 50x75CM - larger pieces for easy handling. Every Paper Puzzle is proudly manufactured in China with a 100% customer satisfaction guarantee. 100% New Brand and High Quality'",4.0,https://amazon.com/Ingooood-Rainy-Night-puzzle-pieces/dp/B01MDQBGM2,-0.2375492537313432,67.0,0.2730171339563863,107.0,0.2946924607843136,85.0,0.5104311111111111,135.0,0.7552155555555555,0.6365085669781931,0.6473462303921568,0.3812253731343284,landscape,hand
16,16,16,17,17,17,17,17,17,21,22,White Mountain Puzzles Readers Paradise - 1000 Piece Jigsaw Puzzle,264,13.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/81g8%2BZ%2B%2Bk1L._SL1200_.jpg,"'Wish upon a book: be immediately drawn into this magical shop with stacks of tomes offering the classics, history, poetry, travel and much more. The amount of detail in this painting is astonishing!', ""1000 piece puzzle: captivate the entire family with this fantastic piece! Find a cozy nook to settle into upstairs or downstairs and if you're lucky, the Kitty might curl up on your lap."", 'Children & adults: if you love pretty scenery, cool collages, or beautiful places Our challenging puzzles delight men, women and kids alike. Quality design & easy to handle pieces create the fun Puzzle building: puzzles are a fun, inexpensive way to enjoy beautiful scenic artwork & remember foods, toys, places and good times from childhood. Spend time with family, friends, and fond memories!. Thicker larger pieces: includes 1000 extra large interlocking pieces made of high quality chipboard on recycled paper. 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.2,https://amazon.com/White-Mountain-Puzzles-Readers-Paradise/dp/B01M20XV6K,-0.2829309210526316,38.0,0.3840339409722222,96.0,0.2437267370892019,71.0,0.44479444444444427,87.0,0.7223972222222221,0.6920169704861111,0.6218633685446009,0.3585345394736842,towns_and_cities,hand
17,17,17,18,18,18,18,18,18,22,23,Buffalo Games - Photography - Iceland Sunset - 1000 Piece Jigsaw Puzzle,31,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81qxWcq-RvL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',3.5,https://amazon.com/Buffalo-Games-Photography-Iceland-Sunset/dp/B07JJV8ZKB,-0.3169166666666667,6.0,0.10343750000000004,4.0,-0.06936666666666667,11.0,0.3240230769230769,13.0,0.6620115384615385,0.55171875,0.4653166666666666,0.34154166666666663,landscape,photo
18,18,18,19,19,19,19,19,19,23,24,Buffalo Games - Charles Wysocki - TWAS' The Twilight Before Christmas - 1000 Piece Jigsaw Puzzle,42,6.66,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91%2BnVONXXoL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.6,https://amazon.com/Buffalo-Games-Charles-Twilight-Christmas/dp/B07G8QF2N5,-0.0809875,4.0,0.44364,5.0,0.428675,4.0,0.539925,10.0,0.7699625,0.72182,0.7143375000000001,0.45950625,towns_and_cities,hand
19,19,19,20,20,20,20,20,20,25,26,Buffalo Games - Darrell Bush - Summertime - 1000 Piece Jigsaw Puzzle,128,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/81gmyIfMMGL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',4.3,https://amazon.com/Buffalo-Games-Darrell-Summertime-Jigsaw/dp/B01CC5NGN8,-0.3446733333333333,15.0,0.2607013157894737,38.0,0.16770799999999994,25.0,0.5928304878048781,41.0,0.796415243902439,0.6303506578947369,0.583854,0.3276633333333333,towns_and_cities,hand
